program_id,years_since_start,annual_earnings,cumulative_earnings,cumulative_earnings_net_of_debt
cs_expected,10,101061.01718743771,614849.9464528493,589950.5015997054
cs_expected,11,101061.01718743771,715910.963640287,689420.4442610272
cs_expected,12,101061.01718743771,816971.9808277248,788788.7172601302
cs_expected,13,101061.01718743771,918032.9980151625,888048.8239055986
cs_expected,14,101061.01718743771,1019094.0152026003,987193.8523674353
cs_expected,15,101061.01718743771,1120155.032390038,1086216.449149706
cs_expected,16,101061.01718743771,1221216.0495774758,1185108.7908680865
cs_expected,17,101061.01718743771,1322277.0667649135,1283862.5542239943
cs_expected,18,101061.01718743771,1423338.0839523512,1382468.8840600671
cs_expected,19,101061.01718743771,1524399.101139789,1480918.3593743881
cs_expected,20,101061.01718743771,1625460.1183272267,1579200.9571630168
cs_expected,21,101061.01718743771,1726521.1355146645,1677306.0139520613
cs_expected,22,101061.01718743771,1827582.1527021022,1775222.1848716487
cs_expected,23,101061.01718743771,1928643.16988954,1872937.4001147205
cs_expected,24,101061.01718743771,2029704.1870769777,1970438.8186135474
cs_expected,25,101061.01718743771,2130765.2042644154,2067712.778756172
cs_expected,26,101061.01718743771,2231826.221451853,2164744.745953633
cs_expected,27,101061.01718743771,2332887.2386392904,2261519.2568567344
cs_expected,28,101061.01718743771,2433948.255826728,2358019.8600082668
cs_expected,29,101061.01718743771,2535009.2730141655,2454229.0527029047
cs_expected,30,101061.01718743771,2636070.290201603,2550128.2138124527
finance,0,0.0,0.0,0.0
finance,1,0.0,0.0,0.0
finance,2,0.0,0.0,0.0
finance,3,0.0,0.0,0.0
finance,4,0.0,0.0,-21726.37954102227
finance,5,60520.040234287,60520.040234287,37405.345040593405
finance,6,70485.34953202134,131005.38976630833,106413.66554973772
finance,7,80450.65882975569,211456.04859606404,185292.91320205457
finance,8,90415.96812749004,301872.01672355406,274037.0569778674
finance,9,90415.96812749004,392287.9848510441,362674.37117760803
finance,10,90415.96812749004,482703.9529785341,451198.0293913655
finance,11,90415.96812749004,573119.9211060242,539600.7690016355
finance,12,90415.96812749004,663535.8892335142,627874.863309655
finance,13,90415.96812749004,753951.8573610042,716012.0918806104
finance,14,90415.96812749004,844367.8254884942,804003.7089939034
finance,15,90415.96812749004,934783.7936159843,891840.410077389
finance,16,90415.96812749004,1025199.7617434743,979512.2959967628
finance,17,90415.96812749004,1115615.7298709643,1067008.835063038
finance,18,90415.96812749004,1206031.6979984543,1154318.8226123014
finance,19,90415.96812749004,1296447.6661259443,1241430.3380026163
finance,20,90415.96812749004,1386863.6342534344,1328330.6988630255
finance,21,90415.96812749004,1477279.6023809244,1415006.4124190686
finance,22,90415.96812749004,1567695.5705084144,1501443.123707996
finance,23,90415.96812749004,1658111.5386359044,1587625.5604849393
finance,24,90415.96812749004,1748527.5067633945,1673537.4746085824
finance,25,90415.96812749004,1838943.4748908845,1759161.5796813802
finance,26,90415.96812749004,1929359.4430183745,1844479.4847049827
finance,27,90415.96812749004,2019775.4111458645,1929471.623496247
finance,28,90415.96812749004,2110191.3792733545,2014117.1795929265
finance,29,90415.96812749004,2200607.3474008446,2098394.0063608373
finance,30,90415.96812749004,2291023.3155283346,2182278.541995871
finance_expected,0,0.0,0.0,0.0
finance_expected,1,0.0,0.0,0.0
finance_expected,2,19768.32,19768.32,15857.571682615991
finance_expected,3,19768.32,39536.64,35375.99486513515
finance_expected,4,19768.32,59304.96,40973.56673476304
finance_expected,5,58501.14574994368,117806.10574994367,98303.33645505807
finance_expected,6,64878.943700493655,182685.04945043733,161936.05319760853
finance_expected,7,71256.74165104365,253941.79110148098,231866.93398809643
finance_expected,8,77634.53960159363,331576.3307030746,308090.89022014476
finance_expected,9,77634.53960159363,409210.8703046682,384224.7101748792
finance_expected,10,77634.53960159363,486845.40990626183,460262.6341441793
finance_expected,11,77634.53960159363,564479.9495078555,536198.5343745758
finance_expected,12,77634.53960159363,642114.4891094491,612025.8915491528
finance_expected,13,77634.53960159363,719749.0287110427,687737.7697666435
finance_expected,14,77634.53960159363,797383.5683126363,763326.78992169
finance_expected,15,77634.53960159363,875018.10791423,838785.1013841023
finance_expected,16,77634.53960159363,952652.6475158236,914104.3518684206
finance_expected,17,77634.53960159363,1030287.1871174172,989275.6553781452
finance_expected,18,77634.53960159363,1107921.7267190109,1064289.5581015993
finance_expected,19,77634.53960159363,1185556.2663206044,1139136.0021285405
finance_expected,20,77634.53960159363,1263190.805922198,1213804.286848261
finance_expected,21,77634.53960159363,1340825.3455237919,1288283.0278810302
finance_expected,22,77634.53960159363,1418459.8851253856,1362560.1133852513
finance_expected,23,77634.53960159363,1496094.4247269793,1436622.6575726504
finance_expected,24,77634.53960159363,1573728.964328573,1510456.9512530824
finance_expected,25,77634.53960159363,1651363.5039301668,1584048.4092191523
finance_expected,26,77634.53960159363,1728998.0435317606,1657381.514268712
finance_expected,27,77634.53960159363,1806632.5831333543,1730439.7576503968
finance_expected,28,77634.53960159363,1884267.122734948,1803205.5757036295
finance_expected,29,77634.53960159363,1961901.6623365418,1875660.282449922
finance_expected,30,77634.53960159363,2039536.2019381355,1947783.9978767605
psychology,0,0.0,0.0,0.0
psychology,1,0.0,0.0,0.0
psychology,2,0.0,0.0,0.0
psychology,3,0.0,0.0,0.0
psychology,4,0.0,0.0,-22936.403136556262
psychology,5,32011.898606811144,32011.898606811144,7609.859309828935
psychology,6,38648.26614566379,70660.16475247493,44698.835144415556
psychology,7,45284.633684516426,115944.79843699135,88324.53986697698
psychology,8,51921.001223369065,167865.7996603604,138480.6065677221
psychology,9,51921.001223369065,219786.80088372948,188523.8939524716
psychology,10,51921.001223369065,271707.8021070985,238447.19542293326
psychology,11,51921.001223369065,323628.80333046755,288242.8438791841
psychology,12,51921.001223369065,375549.8045538366,337902.6822936161
psychology,13,51921.001223369065,427470.8057772056,387418.0324045571
psychology,14,51921.001223369065,479391.80700057466,436779.6614094139
psychology,15,51921.001223369065,531312.8082239437,485977.74652950774
psychology,16,51921.001223369065,583233.8094473127,535001.8373106023
